City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Nicoya,CR,2021-09-29 16:21:01,10.1483,-85.452,83.75,82,100,2.53
96,Kuusamo,FI,2021-09-29 16:21:01,65.9667,29.1833,44.64,81,75,4.61
97,Georgetown,MY,2021-09-29 16:21:01,5.4112,100.3354,78.73,92,40,5.75
98,Victoria,HK,2021-09-29 16:19:37,22.2855,114.1577,86.38,84,2,3.0
99,Arraial Do Cabo,BR,2021-09-29 16:21:02,-22.9661,-42.0278,80.46,65,40,13.8
100,Moramanga,MG,2021-09-29 16:21:02,-18.9333,48.2,58.86,98,11,3.98
101,Leningradskiy,RU,2021-09-29 16:21:03,69.3833,178.4167,27.12,97,100,18.9
102,Salinas,US,2021-09-29 16:21:03,36.6777,-121.6555,63.64,78,1,0.0
103,Bayangol,RU,2021-09-29 16:21:03,50.6977,103.4656,25.21,84,39,2.55
104,Daru,PG,2021-09-29 16:21:03,-9.0763,143.2092,78.12,90,79,14.41
105,Qaanaaq,GL,2021-09-29 16:21:04,77.484,-69.3632,18.95,81,10,4.47
106,Puerto Ayora,EC,2021-09-29 16:21:04,-0.7393,-90.3518,76.96,81,91,8.95
107,Tavda,RU,2021-09-29 16:21:04,58.0425,65.2726,36.81,81,90,4.92
108,Makurdi,NG,2021-09-29 16:21:05,7.7411,8.5121,80.31,80,96,3.85
109,Torbay,CA,2021-09-29 16:21:05,47.6666,-52.7314,69.89,92,90,6.91
110,Port Alfred,ZA,2021-09-29 16:21:05,-33.5906,26.891,60.48,78,100,21.92
111,Odesskoye,RU,2021-09-29 16:21:06,54.2111,72.9651,39.25,68,96,6.67
112,Ridgecrest,US,2021-09-29 16:18:55,35.6225,-117.6709,70.68,27,20,3.0
113,Jumla,NP,2021-09-29 16:21:06,29.2747,82.1838,58.17,95,86,1.7
114,Saskylakh,RU,2021-09-29 16:21:06,71.9167,114.0833,22.91,91,100,4.36
115,Mount Gambier,AU,2021-09-29 16:21:07,-37.8333,140.7667,55.31,88,90,16.11
116,Nikolskoye,RU,2021-09-29 16:21:07,59.7035,30.7861,50.88,76,85,3.11
