City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
518,Montrose,US,53.01,overcast clouds,38.4166,-108.2673,
521,Mochudi,BW,68.52,overcast clouds,-24.4167,26.15,Motsile BigMots' Place
526,La Sarre,CA,53.89,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
532,Shache,CN,69.51,clear sky,38.4167,77.2406,Delong Hotel
533,Narrabri,AU,59.85,scattered clouds,-30.3167,149.7833,Crossroads Hotel
539,Storforshei,NO,51.58,broken clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
540,Huangchuan,CN,68.56,light rain,32.1272,115.0394,Guangzhou International Hotel
543,Mahanoro,MG,67.6,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
544,Ginir,ET,59.05,light rain,7.1333,40.7,Sura Dare Village
545,Coihueco,CL,53.62,overcast clouds,-36.6167,-71.8333,Frutillares Coihueco
547,Shunyi,CN,63.84,light rain,40.125,116.6453,Beijing Mingchen Holiday Hotel
549,Hami,CN,62.91,clear sky,42.8,93.45,Laoyutang Resort
550,Valparaiso,CL,65.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
551,Antalaha,MG,68.58,light rain,-14.9003,50.2788,Hotel Vitasoa
553,Marystown,CA,61.86,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
556,Ahipara,NZ,58.08,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
558,Ngunguru,NZ,61.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
559,Lerwick,GB,53.6,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
560,La Ronge,CA,64.8,broken clouds,55.1001,-105.2842,Northland Motor Hotel
562,Ludvika,SE,50.34,overcast clouds,60.1496,15.1878,Ludvika Stadshotell
564,Moranbah,AU,66.65,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
570,Seydi,TM,58.19,scattered clouds,39.4816,62.9137,Seydi oteli
571,High Level,CA,63.57,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
586,Salisbury,GB,61.09,overcast clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
