City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
133,Itajuba,BR,-22.4256,-45.4528,75.22,54,62,6.49,broken clouds
134,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,46,12.19,scattered clouds
135,Eureka,US,40.8021,-124.1637,74.19,70,48,5.01,scattered clouds
136,Cayenne,GF,4.9333,-52.3333,86.04,78,20,1.99,few clouds
137,Sebrovo,RU,50.0981,43.2976,45.39,55,71,2.24,broken clouds
138,Alice Springs,AU,-23.7,133.8833,56.75,30,0,4.61,clear sky
139,Toamasina,MG,-18.1667,49.3833,73.4,83,40,4.61,light rain
140,Hobart,AU,-42.8794,147.3294,55.11,96,75,11.5,drizzle
141,Yulara,AU,-25.2406,130.9889,55.98,43,0,8.41,clear sky
142,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,83,90,18.41,overcast clouds
143,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
144,Mackay,AU,-21.15,149.2,73.69,81,77,10.2,broken clouds
145,Goundi,TD,9.3627,17.366,77.5,79,98,3.06,overcast clouds
146,Rocha,UY,-34.4833,-54.3333,59.23,90,100,6.98,light rain
147,Saint-Paul,RE,-21.0096,55.2707,71.71,79,19,2.75,few clouds
148,Talikota,IN,16.4833,76.3167,76.3,82,100,10.13,overcast clouds
149,Campbell River,CA,50.0163,-125.2446,61.27,86,75,2.3,broken clouds
150,Severo-Kurilsk,RU,50.6789,156.125,47.77,97,100,18.07,moderate rain
151,Atar,MR,20.5169,-13.0499,95.81,12,1,6.04,clear sky
152,Kirakira,SB,-10.4544,161.9205,82.31,79,89,6.93,overcast clouds
153,Chokurdakh,RU,70.6333,147.9167,13.69,92,63,9.13,broken clouds
154,Saldanha,ZA,-33.0117,17.9442,58.5,88,0,8.81,clear sky
155,Berlevag,NO,70.8578,29.0864,44.55,70,90,6.91,overcast clouds
156,Merauke,ID,-8.4667,140.3333,77.74,89,100,9.4,overcast clouds
157,Thompson,CA,55.7435,-97.8558,65.93,40,19,4.72,few clouds
158,Ancud,CL,-41.8697,-73.8203,49.19,54,11,8.14,few clouds
159,Carnarvon,AU,-24.8667,113.6333,69.87,88,75,10.36,broken clouds
160,Lebu,CL,-37.6167,-73.65,53.65,69,53,10.29,broken clouds
161,Damghan,IR,36.1683,54.348,64.78,59,0,4.21,clear sky
162,Preobrazheniye,RU,42.9019,133.9064,60.08,63,42,4.45,scattered clouds
163,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,88,4,11.74,clear sky
164,Salinopolis,BR,-0.6136,-47.3561,80.15,78,28,6.89,scattered clouds
165,Sisimiut,GL,66.9395,-53.6735,34.25,74,100,5.7,overcast clouds
166,Kaitangata,NZ,-46.2817,169.8464,52.93,64,96,11.12,overcast clouds
167,Chernyshevsk,RU,52.5243,117.0174,30.16,74,8,0.89,clear sky
168,Gobabis,NA,-22.45,18.9667,66.67,18,44,11.01,scattered clouds
